QA-ID,question,selected_model,answer,Completeness,Correctness,Fluency,Notes
QA-37,"كيف يتم حساب مقابل ساعات العمل الإضافية؟
هل هناك شروط يجب التقيد بها؟",qwen,"{
""applicable"": true,
""issue"": ""كيفية حساب مقابل ساعات العمل الإضافية وشروط تشغيلها"",
""rules"": [""يجوز تشغيل العامل فترة إضافية بأمر كتابي من صاحب العمل إذا كان ذلك لازماً لمنع وقوع حادث خطر أو لإصلاح ما نشأ عنه أو تفادى خسارة محققة أو مواجهة أعمال تزيد على القدر اليومي."", ""لا يجوز أن تزيد ساعات العمل الإضافي على ساعتين في اليوم الواحد وبحد أقصى مئة وثمانون ساعة سنوياً."", ""لا يجوز أن تزيد فترات العمل الإضافي على ثلاث أيام أسبوعياً وتسعين يوماً في السنة."", ""للعامل حق في الحصول على أجر عن فترة العمل الإضافي يزيد على أجره العادي في الفترة المماثلة بمقدار 25 في المائة."", ""يراعي في هذا الأجر ما تقضي به المادة 56 من هذا القانون."", ""على صاحب العمل أن يمسك سجلاً خاصاً للعمل الإضافي يبين فيه تواريخ الأيام وعدد الساعات الإضافية والأجور المقابلة.""],
""analysis"": ""تنص المادة 66 صراحةً على شروط تشغيل العامل في ساعات إضافية، وهي: (1) وجود سبب قانوني مبرر (حادث خطر، إصلاح، تفادي خسارة، أو أعمال زائدة)، (2) صدور أمر كتابي من صاحب العمل، (3) عدم تجاوز ساعتين يومياً، (4) عدم تجاوز 180 ساعة سنوياً، (5) عدم تجاوز 3 أيام أسبوعياً و90 يوماً سنوياً. كما تحدد المادة ذاتها طريقة الحساب: أجر إضافي بنسبة 25% على الأجر العادي في الفترة المماثلة، مع مراعاة أحكام المادة 56 (والتي لم تُرفق في المواد المسترجعة، لذا لا يمكن تطبيقها أو التوسع فيها)، وعلى صاحب العمل إمساك سجل خاص. وبالتالي، جميع عناصر المسألة (الحساب والشروط) منظمة حصرياً في المادة 66."",
""final_answer"": ""يُحسب مقابل ساعات العمل الإضافية بنسبة زيادة قدرها 25% على الأجر العادي للعامل في الفترة المماثلة، ويجب أن يستند التشغيل إلى أمر كتابي من صاحب العمل، وأن يكون مبرراً بواحد من الأسباب المنصوص عليها، وألا يتجاوز ساعتين يومياً أو 180 ساعة سنوياً أو 3 أيام أسبوعياً أو 90 يوماً سنوياً، مع وجوب إمساك سجل خاص بالعمل الإضافي."",
""referenced_articles"": [""66""]
}",3,4,3.0,
QA-45,"ما عدد الساعات المسموح بها لتشغيل الأحداث أو
(الطفل)؟",llama,"{
""applicable"": true,
""issue"": ""عدد الساعات المسموح بها لتشغيل الأحداث أو (الطفل)"",
""rules"": [
{
""article"": ""مادة 20"",
""clause"": ""أ""
},
{
""article"": ""مادة 21"",
""clause"": ""الحد الأقصى لساعات العمل للإحداث""
}
],
""analysis"": ""الحد الأقصى لساعات العمل للإحداث ستة ساعات يوميا بشرط عدم تشغيلهم أكثر من أربع ساعات متوالية تتلوها فترة راحة لا تقل عن ساعة."",
""final_answer"": ""ستة ساعات يوميا"",
""referenced_articles"": [
""مادة 20"",
""مادة 21""
]
}",3,4,1.0,المفترض بحسب السؤال (الذي يشتمل على الطفل) ان يذكر سن الحدث المسموح تشغيله
QA-78,ما أنواع المرض المهني وأسبابه؟,deepseek,"{
    ""applicable"": false,
    ""issue"": """",
    ""rules"": [],
    ""analysis"": """",
    ""final_answer"": """",
    ""referenced_articles"": []
}",1,1,1.0,
QA-77,متى يسقط حق العامل في التعويض عن إصابة العمل؟,gpt4o,"{
""applicable"": true,
""issue"": ""تحديد الحالات التي يسقط فيها حق العامل في التعويض عن إصابة العمل."",
""rules"": [
""مادة 94: يسقط حق العامل في التعويض عن الاصابة إذا ثبت من التحقيق : أ – أن العامل قد تعمد إصابة نفسه . ب – أن الاصابة قد حدثت بسبب سوء سلوك فاحش و مقصود من العامل , و يعتبر في حكم ذلك كل فعل يأتيه المصاب تحت تأثير الخمر أو المخدرات . و كل مخالفة للتعليمات الخاصة بالوقاية من أخطار العمل و أضرار المهنة المعلقة في مكان ظاهر من أماكن العمل , هذا ما لم تنشأ عن الاصابة وفاة العامل أو تخلف عجزا مستديما تزيد نسبته على ( 25 في المئة ) من العجز الكلي.""
],
""analysis"": ""وفقًا للمادة 94، يسقط حق العامل في التعويض عن إصابة العمل إذا ثبت من التحقيق أن العامل تعمد إصابة نفسه أو إذا كانت الإصابة نتيجة سوء سلوك فاحش ومقصود من العامل، مثل التصرف تحت تأثير الخمر أو المخدرات أو مخالفة تعليمات الوقاية. ومع ذلك، لا يسقط الحق في التعويض إذا نتج عن الإصابة وفاة العامل أو عجز دائم تزيد نسبته على 25% من العجز الكلي."",
""final_answer"": ""يسقط حق العامل في التعويض عن إصابة العمل إذا تعمد إصابة نفسه أو إذا كانت الإصابة نتيجة سوء سلوك فاحش ومقصود، مثل التصرف تحت تأثير الخمر أو المخدرات أو مخالفة تعليمات الوقاية، إلا إذا نتج عن الإصابة وفاة العامل أو عجز دائم يزيد عن 25% من العجز الكلي."",
""referenced_articles"": [
""94""
]
}",4,4,4.0,النص صحيح لكن رقم المادة 95 وليس 94
QA-54,ما شروط تشغيل المرأة عملاً إضافياً؟,llama,"{
""applicable"": true,
""issue"": ""تشغيل المرأة عملاً إضافياً"",
""rules"": [
{
""article"": ""مادة 66"",
""clause"": ""لا يجوز أن تزيد ساعات العمل الإضافي علي ساعتين في اليوم الواحد وبحد أقصى مئة وثمانين ساعة سنويا، كما لا يجوز أن تزيد فترات العمل الإضافي علي ثلاث أيام أسبوعيا وتسعين يوما في السنة""
}
]
,
""analysis"": ""تطبيق القواعد على الوقائع: إذا كان صاحب العمل يريد تشغيل المرأة عملاً إضافياً، فلا يجوز أن يزيد ساعات العمل الإضافي عن ساعتين في اليوم الواحد وبحد أقصى مئة وثمانين ساعة سنويا، كما لا يجوز أن يزيد فترات العمل الإضافي عن ثلاث أيام أسبوعيا وتسعين يوما في السنة."",
""final_answer"": ""يجب على صاحب العمل احترام القواعد المذكورة في المادة 66 من قانون العمل الكويتي."",
""referenced_articles"": [
""مادة 66""
]
}",3,4,2.0,
QA-48,"ما أهم المسائل التي يجب أن يشملها عقد التدريب
المهني؟",qwen,"{
""applicable"": false,
""issue"": """",
""rules"": [],
""analysis"": """",
""final_answer"": """",
""referenced_articles"": []
}",1,1,1.0,
QA-102,"متى يستحق العامل إجازة سنوية؟
متى تسقط الإجازة السنوية؟
هل تخصم أيام العطل الرسمية والجمع من الإجازة الرسمية؟
متى يتم صرف راتب الإجازة السنوية؟",deepseek,"{
    ""applicable"": true,
    ""issue"": ""تحديد أحكام الإجازة السنوية للعامل في قانون العمل الكويتي، بما في ذلك وقت الاستحقاق، وسقوط الإجازة، وحساب أيام العطل الرسمية، ووقت صرف الراتب."",
    ""rules"": [""يستحق العامل إجازة سنوية بعد قضائه ستة أشهر على الأقل في خدمة صاحب العمل للسنة الأولى (مادة 70)."", ""لا تحسب أيام العطل الرسمية ضمن الإجازة السنوية (مادة 70)."", ""يتم دفع أجر الإجازة السنوية قبل القيام بها (مادة 71)."", ""لا يجوز للعامل التنازل عن إجازته السنوية بعوض أو بغير عوض (مادة 73)."", ""يستحق العامل مقابل نقدي لأيام إجازاته السنوية المجتمعة في حالة انتهاء عقده (مادة 72).""],
    ""analysis"": ""بناءً على المواد القانونية المقدمة: 1- يستحق العامل إجازة سنوية بعد ستة أشهر من الخدمة للسنة الأولى، مع استحقاق إجازة عن كسور السنة. 2- لا توجد مادة تنص صراحةً على سقوط الإجازة السنوية، ولكن المادة 73 تحظر التنازل عنها، مما يشير إلى أنها حق غير قابل للسقوط بالتنازل. 3- المادة 70 تنص صراحةً على أن أيام العطل الرسمية لا تحسب ضمن الإجازة السنوية. 4- المادة 71 تنص على أن أجر الإجازة السنوية يدفع قبل القيام بها."",
    ""final_answer"": ""يستحق العامل إجازة سنوية بعد قضائه ستة أشهر على الأقل في خدمة صاحب العمل للسنة الأولى. لا تسقط الإجازة السنوية بالتنازل عنها. لا تخصم أيام العطل الرسمية من الإجازة السنوية. يتم صرف راتب الإجازة السنوية قبل قيام العامل بها."",
    ""referenced_articles"": [""70"", ""71"", ""73""]
}",4,3,3.0,
QA-79,ماذا يقصد بنظام السلامة المهنية؟,qwen,"{
""applicable"": false,
""issue"": """",
""rules"": [],
""analysis"": """",
""final_answer"": """",
""referenced_articles"": []
}",1,1,1.0,
QA-12,نحن شركة نعمل على اعداد عقد عمل مع احد الأشخاص الذي سيتولى منصب مهم براتب شهري عالي ونود ان تكون فترة الاخطار 6 شهور لكل طرف منا قبل انهاء العقد بدلا من 3 اشهر فهل هذه المدة جائزة قانونا؟,qwen,"{
""applicable"": false,
""issue"": """",
""rules"": [],
""analysis"": """",
""final_answer"": """",
""referenced_articles"": []
}",1,1,1.0,
QA-32,"متى يحصل العامل على فترة راحة أثناء العمل؟
كيف تحسب مدة هذه الراحة من ساعات العمل؟
هل فترة الراحة تطبق على جميع القطاعات؟",deepseek,"{
    ""applicable"": true,
    ""issue"": ""تحديد وقت حصول العامل على فترة راحة أثناء العمل، وكيفية حساب مدة هذه الراحة من ساعات العمل، وما إذا كانت فترة الراحة تطبق على جميع القطاعات."",
    ""rules"": [""مادة 65: (أ) لا يجوز تشغيل العامل أكثر من خمس ساعات متصلة يومياً دون أن يعقبها فترة راحة لا تقل عن ساعة ولا تحسب فترات الراحة ضمن ساعات العمل. ويستثني من ذلك القطاع المصرفي والمالي والاستثماري فتكون ساعات العمل ثماني ساعات متصلة. (ب) يجوز بعد موافقة الوزير تشغيل العمال من دون فترة راحة لأسباب فنية أو طارئة أو في الأعمال المكتبية شريطه أن يقل مجموع ساعات العمل اليومية وفقاً لما نصت عليه المادة 64 من هذا القانون بساعة واحدة على الأقل."", ""مادة 21: الحد الأقصى لساعات العمل للإحداث ستة ساعات يومياً بشرط عدم تشغيلهم أكثر من أربع ساعات متوالية تتلوها فترة راحة لا تقل عن ساعة.""],
    ""analysis"": ""من المادة 65 (أ): يحق للعامل الحصول على فترة راحة بعد خمس ساعات متصلة من العمل، وتكون مدة الراحة لا تقل عن ساعة، ولا تحسب هذه الفترة ضمن ساعات العمل. ويستثنى من ذلك العاملون في القطاع المصرفي والمالي والاستثماري حيث تكون ساعات العمل ثماني ساعات متصلة دون فترة راحة. من المادة 65 (ب): يجوز تشغيل العمال دون فترة راحة في حالات استثنائية (أسباب فنية أو طارئة أو في الأعمال المكتبية) بشرط موافقة الوزير وأن يقل مجموع ساعات العمل اليومية بساعة واحدة على الأقل وفقاً للمادة 64. من المادة 21: بالنسبة للإحداث (العمال الأحداث)، يحق لهم الحصول على فترة راحة بعد أربع ساعات متوالية من العمل، وتكون مدة الراحة لا تقل عن ساعة."",
    ""final_answer"": ""يحصل العامل على فترة راحة بعد خمس ساعات متصلة من العمل اليومي، وتكون مدة الراحة لا تقل عن ساعة ولا تحسب ضمن ساعات العمل. بالنسبة للإحداث (العمال الأحداث)، يحصلون على فترة راحة بعد أربع ساعات متوالية من العمل. فترة الراحة لا تطبق على جميع القطاعات؛ حيث يستثنى منها العاملون في القطاع المصرفي والمالي والاستثماري (ثماني ساعات متصلة)، كما يجوز في حالات استثنائية (أسباب فنية أو طارئة أو أعمال مكتبية) تشغيل العمال دون فترة راحة بموافقة الوزير وبشرط تقليل ساعات العمل اليومية بساعة واحدة على الأقل."",
    ""referenced_articles"": [""65"", ""21""]
}",5,5,4.0,
QA-16,"انا موظف وقعت عقد عمل غير محدد المدة بتاريخ 1/7/1998 
ثم قامت الشركة بإنهاء عقد عملي في تاريخ 2/4/ 2017 بدون ان تعطيني اخطار مسبق. 
 فكم المبلغ الذي تلتزم الشركة بدفعه لي  كمقابل بدل إخطار علما بأن راتبي الشهري 7302 د.ك؟",gpt4o,"{
    ""applicable"": true,
    ""issue"": ""إنهاء عقد العمل غير محدد المدة بدون إخطار مسبق."",
    ""rules"": [
        ""مادة 44: إذا كان عقد العمل غير محدد المدة جاز لكل من طرفيه إنهاؤه بعد إخطار الطرف الآخر. فإذا لم يراع الطرف الذي أنهى العقد مدة الإخطار فإنه يلتزم بأن يدفع للطرف الآخر بدل مهلة الإخطار مساويا لأجر العامل عن نفس المدة.""
    ],
    ""analysis"": ""بما أن عقد العمل غير محدد المدة وتم إنهاؤه من قبل الشركة بدون إخطار مسبق، فإن الشركة ملزمة بدفع بدل مهلة الإخطار للعامل. وفقًا للمادة 44، يجب أن يكون الإخطار قبل إنهاء العقد بثلاثة أشهر على الأقل بالنسبة للعمال المعينين بأجر شهري. لذا، يجب على الشركة دفع بدل إخطار يساوي أجر العامل عن ثلاثة أشهر."",
    ""final_answer"": ""الشركة تلتزم بدفع مبلغ 21906 د.ك كبدل إخطار، وهو ما يعادل راتب ثلاثة أشهر (7302 د.ك × 3)."",
    ""referenced_articles"": [
        ""44""
    ]
}",5,5,4.0,
