No.,Question,Answer,Category
11,هل تعد عنصرًا من عناصر الأجر؟,نعم، تعد عنصرًا من عناصر الأجر.,ظروف العمل والأجر
12,ما المقصود بالأجر الإضافي؟,أما الأجر الإضافي فيكون مقابل تشغيل العامل ساعات زيادة عن الحد الأقصى المقرر قانونًا، أو مقابل تشغيله في أيام الراحة أو في الإجازة الرسمية.,ظروف العمل والأجر
13,هل يدخل مقابل رصيد الإجازات أو بدل مهلة الإعلان في ملحقات الأجر الذي يتقاضاه العامل؟,إن مقابل رصيد الإجازات وبدل مهلة الإعلان المستحقة للعامل يخرج عن مدلول الأجر، لأن العامل يعطي حقه في موعد استحقاقه السنوي من منحه إجازة سنوية مقابل رصيد الإجازات، وبدل مهلة الإعلان ما دام احتسابه ضمن الأجر سواء عن فترة الإجازة أم عن مهلة الإعلان.,ظروف العمل والأجر
14,المقصود بالأجر؟ هل الأجر الذي يتقاضاه العامل يعول عليه عند حساب ما يستحقه من مكافأة نهاية الخدمة؟,الأجر الذي يعول عليه عند احتساب مكافأة نهاية الخدمة للعامل هو الأجر الذي يتقاضاه من صاحب العمل، ويدخل في كل ما يعطى للعامل مقابل العمل الذي يؤديه، سواء كانت صورته أو تسميته من الأجر الأساسي أو الاعتيادي أو الاعتماد من جانب العامل في تنظيم أمور معيشته.,ظروف العمل والأجر
15,س 16/ ما الحد الأقصى لساعات العمل؟,ج/ الحد الأقصى ثماني ساعات يومياً، وما زاد عن ذلك لا يجوز تشغيل العامل أكثر من ثماني ساعات يومياً أو ثمان وأربعون ساعة في الأسبوع (48 ساعة في الأسبوع).,ساعات العمل والراحة الأسبوعية
16,"​س 17/ متى يحصل العامل على فترة راحة أثناء العمل؟
 س 18/ كيف تحسب مدة هذه الراحة من ساعات العمل؟
 س 19/ هل فترة الراحة تطبق على جميع القطاعات؟",ج/ قانون العمل الكويتي الجديد رقم (6 لسنة 2010) منح العامل ساعة واحدة للراحة بعد تشغيل لمدة (5) ساعات متصلة، ولا تُحتسب فترة الراحة من ساعات العمل. وفترة الراحة لا تنطبق على جميع القطاعات بل يُستثنى من ذلك القطاع المصرفي والمالي والاستثماري فتكون ساعات العمل ثماني ساعات متصلة.,ساعات العمل والراحة الأسبوعية
17,س 20/ ما الأشياء التي لا تدخل ضمن ساعات فترة الراحة للعامل؟,ج/ العبرة بتحديد ساعات العمل اليومية أو الأسبوعية هي ساعات العمل الفعلية التي يؤديها العامل لصاحب العمل، فلا تدخل ضمن هذه الساعات فترات الراحة التي يتناول فيها العامل طعامه أو الراحة أو ارتداء ملابس العمل أو الانتقال إلى مكان العمل.,ساعات العمل والراحة الأسبوعية
18,​س 21/ ما الشروط التي أوجبها القانون على صاحب العمل عند تكليف (تشغيل) العاملين لديه بعمل إضافي؟,"ج/ أوجب القانون على صاحب العمل أن يمسك سجلاً خاصاً بالعمل الإضافي يبين فيه:
 ​تواريخ أيام تكليف العامل بالعمل الإضافي (الساعات الإضافية).
 ​بيان بعدد الساعات الإضافية التي كلف بها العامل.
 ​بيان الأجور المقابلة للعمل الإضافي التي كلف بها العامل",ساعات العمل والراحة الأسبوعية
19,س 22/ هل يحق لصاحب العمل إجبار العامل بتشغيله ساعات عمل إضافية؟,ج/ يحق لصاحب العمل تشغيل العامل ساعات إضافية دون موافقته بشرط صدور أمر كتابي بذلك إذا استدعت ظروف العمل ذلك لمنع حدوث خطر أو إصلاح ما نشأ عنه هذا الحادث أو لتلافي خسارة محققة (حدوث حريق، نقل سلعة قابلة للتلف، وغيرها) أو عند القيام بأعمال الجرد السنوي وإعداد الميزانية والحسابات الختامية ووقت التنزيلات (التخفيضات) لمواجهة حركة تجارية أو صناعية في موسم خاص كالأعياد أو شهر رمضان المبارك.,ساعات العمل والراحة الأسبوعية
20,"​س 23/ كيف يحسب الأجر اليومي للعامل؟
 س 24/ هل الراحة الأسبوعية مدفوعة الأجر؟
 س 25/ هل تُحسب من أيام العمل الفعلية؟","ج/ قانون العمل الكويتي الجديد أعطى العامل الحق في راحة أسبوعية مدفوعة الأجر وتحدد بأربع وعشرين ساعة (24 ساعة) متصلة بعد كل ستة أيام.
 ​ويجري حساب حق العامل بما فيها أجره اليومي وإجازته بقسمة راتبه على عدد أيام العمل الفعلية دون أن تُحسب من ضمنها أيام راحته الأسبوعية رغم كون الراحة مدفوعة الأجر، أي أن حساب الأجر اليومي يُحسب على أساس حقوق العامل بقسمة راتبه الشهري على عدد أيام العمل الفعلية بعد استبعاد أيام الراحة الأسبوعية ولو كانت مدفوعة الأجر.مثال ذلك: الراتب ÷ 26 يوماً (وليس على 30 يوماً). وهي ميزة قررها قانون العمل الكويتي الجديد للعامل.",ساعات العمل والراحة الأسبوعية
21,"س 26/ كيف يتم حساب مقابل ساعات العمل الإضافية؟
 س 27/ هل هناك شروط يجب التقيد بها؟","ج/ يُشترط لاستحقاق العامل مقابل ساعات العمل الإضافي أن يكون قد قام بالعمل بنفسه بناءً على تكليف كتابي من صاحب العمل، ولا يستحق العامل مقابل ساعات العمل الإضافي إذا قام به من تلقاء نفسه. ولا يجوز أن تزيد ساعات العمل الإضافي عن ساعتين يومياً وثمانين ساعة سنوياً، ولا تزيد فترات العمل الإضافي عن ثلاثة أيام أسبوعياً أو تسعين يوماً في السنة. ويستحق العامل 25% من أجر ساعة العمل العادية، أما إذا قام العامل بالعمل الإضافي ليلاً استحق 50%.
 ​الإضافي على النحو التالي:
 ​الأجر اليومي = الأجر الشهري ÷ 26.
 ​أجر الساعة الإضافية = الأجر اليومي ÷ 8 ساعات × 25%.",ساعات العمل والراحة الأسبوعية
22,​س 28/ كيفية احتساب العمل الإضافي؟,"ج/ يكون حساب العمل الإضافي للعامل على النحو التالي:
 ​فيكون الأجر اليومي (260 د.ك) ÷ 26 يوم عمل = (10 دينار).
 ​(10 د.ك) ÷ 8 ساعات عمل = (1.250 دينار وربع) لساعة العمل.
 ​عند تشغيل العامل ساعات إضافية في أيام العمل العادية (25%):
 (1.250 د.ك) × 25 ÷ 100 = (1.562 د.ك) للساعة الواحدة.
 ​أما عند تشغيله يوم راحته الأسبوعية (50%) زيادة على أجره العادي:
 (1.250 د.ك) × 50 ÷ 100 = (1.875 د.ك) للساعة الواحدة. ويعوض في يوم راحة بديل.
 ​أما عند تشغيل العامل في الأعياد والعطل الرسمية (100%):
 1.250 د.ك + (1.250 د.ك) = (2.500 د.ك) للساعة الواحدة. ويعوض في يوم إجازة بديل.",ساعات العمل والراحة الأسبوعية
23,"س 29/ هل يُشترط أن يكون يوم الراحة الأسبوعية هو يوم الجمعة؟
 س 30/ كم يستحق العامل من أجر إذا عمل يوم راحته الأسبوعية؟","ج/ إن يوم الراحة الأسبوعية لا يُشترط أن يكون يوم جمعة فقد يكون السبت أو أي يوم آخر خلال أيام الأسبوع والمرجع في ذلك عقد العمل أو العرف الجاري، ويستحق العامل الأجر العادي لليوم مضافاً إليه 50% على الأقل.
 ​الأجر الشهري ÷ 26 = الأجر اليومي.
 ​ثم أيام الراحة × الأجر اليومي × 50% = مقابل العمل أيام الراحة الأسبوعية.",ساعات العمل والراحة الأسبوعية
24,"س 31/ ما شروط تشغيل العامل في أيام العطلات الرسمية والأعياد؟
 س 32/ كيف يتم احتسابها؟","ج/ إن تشغيل العامل في أيام العطلات الرسمية والأعياد لا يكون إلا في الظروف الاستثنائية ومنها المستشفيات ودور العلاج والفنادق. وأن الأجر الأساسي الذي يتقاضاه العامل يحتسب على أساسه المقابل المستحق له، فإذا عمل يوم الإجازة الرسمية وكانت يوم الراحة الأسبوعية المقررة له (جمعة أو سبت وغيره) فإنه يستحق 200% من الأجر اليومي باعتباره أن يوم العمل قد صادف يوم الراحة والإجازة الرسمية معاً.
 ​أما إذا كان يوم الإجازة الرسمية الذي عمل فيه العامل يوماً عادياً (ليس يوم الراحة الأسبوعية) فيستحق مقابل 100% من أجره فقط ويتم احتساب مقابل العمل أيام الإجازة الرسمية على النحو الآتي:
 ​الأجر الشهري ÷ 26 = الأجر اليومي.
 ​ثم أيام العمل × 100% = من الأجر اليومي.",ساعات العمل والراحة الأسبوعية
25,س 33/ على من يقع إثبات تقاضي العامل لأجره أو ساعات العمل الإضافية وإجازته السنوية وتقاضيه مقابلها؟,"ج/ صاحب العمل يقع على عاتقه إثبات تقاضي العامل لأجره أو ساعات العمل الإضافية أو تقاضيه مقابل الإجازات السنوية وغيرها. ويجوز للعامل إثبات عدم تقاضيه لأجره أو مقابل إجازته السنوية أو ساعات عمله الإضافية بكافة طرق الإثبات، ومنها القرائن وشهادة الشهود.
 ​ويجب على صاحب العمل عند تكليف العامل بالعمل ساعات إضافية أن يكون ذلك بأمر كتابي منه، ولا يتجاوز ساعتين يومياً وأن يدفع للعامل أجراً يوازي أجر الساعة الإضافية مضافاً إليها (25%).",ساعات العمل والراحة الأسبوعية
26,س 34/ هل يجوز تشغيل الأحداث؟ س 35/ ما السن المسموح به؟,"ج/ يجوز تشغيل الأحداث من تجاوز سنة عن خمس عشرة سنة ميلادية ،
 وقرر المشرع في قانون العمل الكويتي الجديد رقم 6 لسنة 2010 قاعدة عامة
 من النظام العام، وكذلك حقوق قانون الطفل رقم 2015/21 حظر بموجبها
 تشغيل من يقل سنهم عن خمس عشرة سنة ميلادية، ورتب البطلان في حالة
 مخالفة هذا السن، كما حظر تشغيل (الطفل) في أي من أنواع الأعمال التي
 يمكن بحكم طبيعتها أو ظروف القيام بها أن تعرض صحة أو سلامة أو أخلاق
 الطفل (الحدث) للخطر.",في تشغيل الأحداث
27,س 34/ هل يجوز تشغيل الأحداث؟ س 35/ ما السن المسموح به؟,"ج/ يجوز تشغيل الأحداث من تجاوز سنة عن خمس عشرة سنة ميلادية ،
 وقرر المشرع في قانون العمل الكويتي الجديد رقم 6 لسنة 2010 قاعدة عامة
 من النظام العام، وكذلك حقوق قانون الطفل رقم 2015/21 حظر بموجبها
 تشغيل من يقل سنهم عن خمس عشرة سنة ميلادية، ورتب البطلان في حالة
 مخالفة هذا السن، كما حظر تشغيل (الطفل) في أي من أنواع الأعمال التي
 يمكن بحكم طبيعتها أو ظروف القيام بها أن تعرض صحة أو سلامة أو أخلاق
 الطفل (الحدث) للخطر.",في تشغيل الأحداث
28,"س 36/ ما الأعمال التي يجوز فيها تشغيل الأحداث أو (الطفل)
 كما جاء في قانون الطفل؟","ج/ يجوز تشغيل الأحداث ممن بلغوا الخامسة عشرة ولم يبلغوا الثامنة
 عشرة وفقاً للشروط التالية :
 1- أن لا يعملوا في الصناعات والمهن الخطرة أو المضرة بالصحة .
 2- توقيع الكشف الطبي عليهم قبل إلحاقهم بالعمل .
 3- لا يجوز تشغيل الأحداث ليلا أي من الغروب إلى مطلع الشمس.",في تشغيل الأحداث
29,"س 37/ ما عدد الساعات المسموح بها لتشغيل الأحداث أو
 (الطفل)؟","ج/ الحد الأقصى لساعات العمل للأحداث في قانون العمل وقانون
 حقوق الطفل (م49) لا يجوز تشغيل الطفل أكثر من ست ساعات في اليوم،
 ويجب أن تتخلل ساعات العمل فترة أو أكثر لتناول الطعام والراحة - لاتقل
 في مجموعها عن ساعة واحدة - وتتحدد هذه الفترة أو الفترات بحيث لا
 يشتغل الطفل أكثر من أربع ساعات متصلة . ويحظر تشغيل الأطفال ساعات عمل اضافية أو تشغيلهم في أيام الراحة الأسبوعية أو العطلات الرسمية. وفي جميع الأحوال لا يجوز تشغيل الأطفال فيما بين الساعة السادسة مساءً أو السابعة صباحًا",في تشغيل الأحداث
30,"س 38/ ما الشروط الواجبة على صاحب العمل في تشغيل الحدث
 أو الطفل؟","ج/ على صاحب العمل الذي يقوم بتشغيل طفل أو أكثر مراعاة الآتي:
 - أن يعلق في مكان ظاهر من محل العمل نسخة تحتوي على الأحكام
 التي يتضمنها هذا الفصل.
 - أن يحرر أولاً بأول كشفاً بالبيانات الأساسية المتعلقة بكل طفل من
 المشتغلين لديه، يشتمل على اسمه وتاريخ ميلاده وطبيعة نشاطه وعددساعات
 عمله وفترات راحته، ومضمون الشهادة المثبتة لأهليه العمل، ويقدم الكشف
 للمختصين عند طلبه .
 
 
 - أن يبلغ وزارة الشئون الاجتماعية والعمل بأسماء الأطفال الجاري
 تشغيلهم ، وأسماء الأشخاص المنوط بهم مراقبة أعمالهم .
 
 - أن يقوم بتوفير سكن منفصل للأطفال عن البالغين، إذا اقتضت ظروف
 العمل مبيتهم .
 - أن يحتفظ بمقر العمل بالوثائق الرسمية التي تثبت سن جميع العاملين
 لديه من الأطفال ومقدرتهم الصحية، ويقدمها عند الطلب، وبعد صاحب
 العمل مسئولاً عن التأكد من سن الأطفال العاملين لديه .
 - أن يوفر جميع احتياطات الصحة والسلامة المهنية وأن يدرب الأطفال
 العاملين على استخدامها .
 على صاحب العمل أن يسلم الطفل نفسه أو أحد والديه أو المسئول عن
 أجره أو مكافأته، وغير ذلك مما يستحقه ويكون هذا التسليم مبرئاً لذمته.",في تشغيل الأحداث
31,س 39/ ما المقصود بعقد التمرين أو التدريب المهني؟,"ج/ هو عقد متميز عن عقد العمل، ويكون لكل شخص أنم الخامسة
 عشرة من عمره أن يتعاقد مع (منشاة) أو صاحب عمل بقصد تعلم مهنة خلال
 مدة محددة وفقاً للشروط والقواعد التي يتفق عليها ، ويجب أن يكون عقد
 التدريب المهني مكتوباً أو محدداً لمدة معينة أو غير محدد.",في تشغيل الأحداث
32,"س 40/ ما أهم المسائل التي يجب أن يشملها عقد التدريب
 المهني؟","ج/ يجب أن يتضمن عقد التدريب المهني المسائل الآتية.
 1- طبيعة المهنة التي يرغب التلميذ تعلمها .
 
 2- طبيعة تعلم المهنة ومراحلها المتتابعة.
 3- المكافأة المالية في كل مرحلة من مراحل تعلم المهنة على ألا تقل في
 المرحلة الأخيرة عن الحد الأدنى المقرر لأجر العامل في مهنة مماثلة.
 4- حظر ارتباط تحديد المكافأة على أساس الإنتاج أو القطعة .
 5- أن يكون عقد التدريب المهني مكتوباً، ويودع نسخة منه لدى الهيئة
 
 العامة للقوى العاملة .",في تشغيل الأحداث
33,س 41/ هل يجوز إنهاء عقد التدريب المهني؟,"ج/ يجوز لكل من طرفيه إنهاء عقد التدريب وإخطار الطرف الآخر برغبته
 في ذلك قبل سبعة أيام على الأقل .",في تشغيل الأحداث
34,"س 42/ ما الشروط الواجب توافرها بالشخص (التلميذ) الذي
 يرغب أن يتدرب، ويتعلم مهنة او حرفة لدى صاحب العمل؟","ج/ الشروط الواجب توافرها في الشخص الذي يرغب بتعلم مهنة او
 حرفة هي :
 
 1- أن يكون قد أتم الخامسة عشرة من عمره .
 2- أن يكون عقد التدريب المهني لمدة معينة .
 3- أن يكون عقد التدریب المهني مکتوباً ومحرراً من ثلاث نسخ أصلية
 ييد كل من طرفيه نسخة للعمل بها ، والنسخة الثالثة تودع لدى الهيئة العامة
 للقوى العاملة ، وتقوم بالتصديق عليها .
 4- يجب تحديد طبيعة المهنة التي يرغب (التلميذ) تعلمها .
 
 
 
 5- المكافأة المالية تكون متدرجة في كل مرحلة من مراحل تعليم
 المهنة (التدريب)، وأن لا تقل المكافأة عن الحد الأدنى المقرر لأجر العامل في
 مهنة ممائلة
 6- أن تكون المكافأة على أساس الإنتاج أو القطعة .
 7- إذ كان سن المتدرب المهني يقل عن الخامسة عشرة من عمره يبطل
 العقد بطلاناً مطلقاً حتى لو أبرمه من له الولاية أو الوصاية عليه.",في تشغيل الأحداث
35,​س 43/ هل يجوز تشغيل النساء ليلاً؟,"ج/ لا يجوز تشغيل النساء ليلاً في الفترة ما بين العاشرة مساءً والساعة السابعة صباحاً، وذلك حرصاً من المشرع الكويتي والتزاماً بالمواثيق الدولية بشأن تشغيل النساء وحفاظاً على ما يعود عليهن من ضرر صحي أو أخلاقي ومراعاة لطبيعتهن الجسمانية ومراعاة من الدولة لما تتحمله المرأة والتوفيق بين عملها في المجتمع وواجباتها نحو الأسرة ولما قد تتأثر به الأمومة والطفولة من مضار بسبب عمل المرأة.
 ​قانون العمل الكويتي رقم 6 لسنة 2010 استثنى حالات يجوز للمرأة أن تعمل بها ليلاً مثل:
 ​المستشفيات.
 ​المصحات.
 ​دور الصحافة.
 ​دور العلاج.
 ​المختبرات الطبية.
 ​الحدائق الترفيهية.
 ​قطاع الرعاية الصحية.
 ​حضانة الأطفال والمعاقين.
 ​شركات ومؤسسات الطيران.
 ​دور المسارح والسينما والتلفزيون والمحطات الفضائية والإذاعية.
 ​بشرط:
 ​توفير متطلبات الأمن للعاملات.
 ​توفير وسائل انتقالهن من محل السكن إلى مقر العمل ذهاباً وإياباً.
 ​ساعات العمل خلال شهر رمضان.",في تشغيل النساء
36,​س 44/ هل هناك أنشطة يسمح للنساء العمل بها حتى الساعة (12) ليلاً ما هي؟,"ج/ هناك أنشطة سُمح للنساء العمل بها حتى الساعة (12) وفقاً لقرار وزير الشؤون الاجتماعية والعمل، وهذه الأنشطة هي:
 ​البنوك.
 ​المطاعم.
 ​جمعيات النفع العام.
 ​المؤسسات التعليمية.
 ​صالون التجميل.
 ​المكاتب السياحية ووكلاء مكاتب الطيران.
 ​المجمعات والمؤسسات والأسواق التجارية، ويمكن تمديد ساعات العمل حتى الساعة الثانية صباحاً بدلاً من الساعة الثانية عشر ليلاً في شهر رمضان المبارك والأعياد.",في تشغيل النساء
37,​س 45/ ما الأعمال التي يحظر تشغيل المرأة فيها؟,"ج/ الأعمال التي يحظر تشغيل المرأة فيها:
 ​الأعمال الخطرة أو الشاقة أو الضارة صحياً.
 ​الأعمال الضارة بالأخلاق، والتي تقوم على استغلال أنوثتها بما لا يتفق مع الآداب العامة.
 ​الأعمال التي تقدم خدماتها للرجال فقط",في تشغيل النساء
38,​س 46/ ما شروط تشغيل المرأة عملاً إضافياً؟,ج/ يجوز تشغيل المرأة عملاً إضافياً في المستشفيات ودور العلاج مع توفير وسائل انتقال آمنة لها ذهاباً وإياباً، ولا يجوز تشغيل المرأة عملاً إضافياً ما بين الساعة العاشرة مساءً والسابعة صباحاً إلا فيما ذكر سابقاً,في تشغيل النساء
39,"​س 54/ ماذا يقصد بفترة التجربة التي يخضع لها العامل في عقد العمل؟
 س 55/ ما مدتها؟","ج/ فترة التجربة: وتسمى الاختبار: مدة يتحقق خلالها صاحب العمل من خبرة وصلاحية وكفاءة العامل، وكذلك مدة يتحقق فيها العامل من ظروف العمل ومناسبة الأجر للجهد الذي يبذله في هذا العمل، والتأكد من حُسن معاملة، وتوفير وسائل السلامة والوقاية وأدوات العمل وغير ذلك.
 لذلك يجوز تعيين العامل فترة تحت التجربة بشرط ألا تزيد عن مائة يوم عمل (مدة التجربة)، ويكون مقرراً لمصلحة صاحب العمل والعامل معاً بإنهاء عقد العمل دون إخطار (إنذار) سابق ودون مكافأة أو تعويض ولا يجوز استخدام العامل تحت التجربة لدى صاحب العمل أكثر من مرة.
 ولا تحتسب أيام الراحة الأسبوعية والعطل الرسمية من ضمن مدة التجربة (مائة يوم)، ويجب أن تكون فترة التجربة منصوصاً عليها بعقد العمل.",عقد العمل
40,"س 56/ ماذا عن تخالص العامل عن جميع حقوقه في ذمة صاحب العمل قبل انتهاء علاقة العمل؟
 س 57/ متى يكون هذا التخالص صحيحاً ومنتجاً لأثره؟",ج/ يجب أن يتم تخالص العامل عن جميع حقوقه بعد انتهاء علاقة العمل وليس قبل ذلك وثبوت حق له بالفعل، فإن العامل يحق له النزول عن حقه أو التصالح عليه بوصفه حقاً مالياً خالصاً له، وأن تكون عبارات المخالصة بصيغة جامعة مانعة، تفيد تخالصه عن كافة حقوقه بذمة صاحب العمل، ومانعة من رجوعه عليه بأي حق منها، فإن هذه المخالصة تكون حجة على العامل بما ورد فيها فلا يقبل منه التحلل أو الرجوع عنها ما دامت إرادته كانت حرة عند تحريرها.,عقد العمل
41,"س 58/ متى يجوز إنهاء عقد العمل غير محدد المدة؟
 س 59/ هل يجوز إنهاء دون إنذار (إخطار)؟","ج/ عقد العمل غير محدد المدة يجوز لكل طرفيه إنهاؤه بعد إخطار (إنذار) الطرف الآخر وفقاً للشروط التالية:
 ​قبل إنهاء العقد بثلاثة أشهر على الأقل (بالنسبة للعمال المعينين بأجر شهري).
 ​وشهر على الأقل بالنسبة للعمال الآخرين.
 ​ويجب على الطرف الآخر الذي أنهى عقد العمل دون مدة الإنذار (الإخطار) فإنه يلتزم بأن يدفع للطرف الآخر بدل مهلة الإخطار (الإنذار) مساوياً لأجر العامل عن نفس المدة.
 ​إذا قام صاحب العمل بإخطار العامل بالإنهاء، يحق للعامل أن يتغيب يوماً كاملاً في الأسبوع أو ثماني ساعات أثناء الأسبوع، وذلك للبحث عن عمل آخر مع استحقاقه لأجره عن يوم أو ساعات الغياب، وللعامل الحق في تحديد يوم الغياب وساعاته، بشرط أن يخطر صاحب العمل بذلك اليوم السابق للغياب على الأقل.
 ​لصاحب العمل أن يعفي العامل من العمل أثناء مهلة الإخطار مع احتساب مدة خدمة العامل مستمرة إلى حين انتهاء تلك المهلة واستحقاق العامل أجره عن مهلة الإخطار (م 44 عمل كويتي).",عقد العمل
42,س 60/ ما مقدار مكافأة نهاية الخدمة التي يحصل عليها العاملين بأجور يومية أو أسبوعية أو بالقطعة؟,"ج/ للعاملين بأجور يومية أو أسبوعية أو بالقطعة:
 ​أن يحصل على أجر 10 أيام عن كل سنة خدمة من السنوات الـ 5 الأولى.
 ​وأيضاً يحصل على 15 يوماً عن كل سنة من السنوات التالية.
 ​لا تزيد المكافأة في مجموعها عن أجر سنة.
 ​أما العاملين بأجور شهرية:
 ​فيحصل على أجر 15 يوماً عن كل سنة خدمة من السنوات الـ 5 الأولى.
 ​وكذلك يحصل على أجر شهر عن كل سنة بعد 5 سنوات خدمة في العمل.
 ​بحيث لا تزيد المكافأة في مجموعها عن أجر سنة ونصف",عقد العمل
43,س 61/ إذا كان العقد غير محدد المدة وأنهى العامل خدمته من جانبه بالاستقالة أو غيرها لأسباب تخص العامل هل يستحق عنها مكافأة نهاية خدمة؟,"​لا يحصل على أي مكافأة إذا كانت مدة الخدمة أقل من 3 سنوات.
 ​يحصل على نصف المكافأة المقررة إذا كانت مدة الخدمة قد استكملت 3 سنوات ولم تصل إلى 5 سنوات.
 ​يحصل على ثلثي المكافأة إذا كانت مدة الخدمة قد استكملت 5 سنوات ولم تصل إلى 10 سنوات.
 ​يحصل على مكافأة كاملة إذا كان العامل قد استكمل خدمة عمل 10 سنوات وما فوق.",عقد العمل
